movie_title,director_name,color,duration,actor_1_name,language,country,title_year
Men in Black,Barry Sonnenfeld,Color,98,Will Smith,English,USA,1997
Toy Story 2,John Lasseter,Color,82,Tom Hanks,English,USA,1999
Unstoppable,Tony Scott,Color,98,Denzel Washington,English,USA,2010
Rush Hour 2,Brett Ratner,Color,90,Mei Melançon,English,USA,2001
What Lies Beneath,Robert Zemeckis,Color,130,Harrison Ford,English,USA,2000
Cloudy with a Chance of Meatballs,Phil Lord,Color,90,Will Forte,English,USA,2009
Ice Age: Dawn of the Dinosaurs,Carlos Saldanha,Color,94,Denis Leary,English,USA,2009
The Secret Life of Walter Mitty,Ben Stiller,Color,114,Adam Scott,English,USA,2013
Charlie's Angels,McG,Color,94,Bill Murray,English,USA,2000
The Departed,Martin Scorsese,Color,151,Leonardo DiCaprio,English,USA,2006
Mulan,Tony Bancroft,Color,88,Ming-Na Wen,English,USA,1998
Tropic Thunder,Ben Stiller,Color,121,Robert Downey Jr.,English,USA,2008
The Girl with the Dragon Tattoo,David Fincher,Color,158,Robin Wright,English,USA,2011
Die Hard with a Vengeance,John McTiernan,Color,128,Bruce Willis,English,USA,1995
Sherlock Holmes,Guy Ritchie,Color,128,Robert Downey Jr.,English,USA,2009
Ben-Hur,Timur Bekmambetov,Color,141,Morgan Freeman,English,USA,2016
Atlantis: The Lost Empire,Gary Trousdale,Color,95,Leonard Nimoy,English,USA,2001
Alvin and the Chipmunks: The Road Chip,Walt Becker,Color,92,Bella Thorne,English,USA,2015
Valkyrie,Bryan Singer,Color,121,Tom Cruise,English,USA,2008
You Don't Mess with the Zohan,Dennis Dugan,Color,113,Adam Sandler,English,USA,2008
Pixels,Chris Columbus,Color,106,Peter Dinklage,English,USA,2015
A.I. Artificial Intelligence,Steven Spielberg,Color,146,Haley Joel Osment,English,USA,2001
The Haunted Mansion,Rob Minkoff,Color,88,Marsha Thomason,English,USA,2003
Contact,Robert Zemeckis,Color,150,Matthew McConaughey,English,USA,1997
Hollow Man,Paul Verhoeven,Color,119,Greg Grunberg,English,USA,2000
The Interpreter,Sydney Pollack,Color,128,Curtiss Cook,Aboriginal,UK,2005
Percy Jackson: Sea of Monsters,Thor Freudenthal,Color,106,Logan Lerman,English,USA,2013
Lara Croft Tomb Raider: The Cradle of Life,Jan de Bont,Color,117,Gerard Butler,English,USA,2003
Now You See Me 2,Jon M. Chu,Color,129,Daniel Radcliffe,English,USA,2016
The Saint,Phillip Noyce,Color,116,Alun Armstrong,English,USA,1997
Spy Game,Tony Scott,Color,114,Brad Pitt,English,Germany,2001
Mission to Mars,Brian De Palma,Color,114,Don Cheadle,English,USA,2000
Rio,Carlos Saldanha,Color,96,Anne Hathaway,English,USA,2011
Bicentennial Man,Chris Columbus,Color,132,Robin Williams,English,USA,1999
Volcano,Mick Jackson,Color,104,Don Cheadle,English,USA,1997
The Devil's Own,Alan J. Pakula,Color,111,Harrison Ford,English,USA,1997
K-19: The Widowmaker,Kathryn Bigelow,Color,138,Liam Neeson,English,UK,2002
Fantastic Four,Josh Trank,Color,100,Tim Blake Nelson,English,USA,2015
Conan the Barbarian,John Milius,Color,129,William Smith,English,USA,1982
Cinderella Man,Ron Howard,Color,144,Paddy Considine,English,USA,2005
The Nutcracker in 3D,Andrey Konchalovskiy,Color,110,Shirley Henderson,English,UK,2010
Seabiscuit,Gary Ross, Black and White,140,Jeff Bridges,English,USA,2003
Twister,Jan de Bont,Color,113,Philip Seymour Hoffman,English,USA,1996
The Fast and the Furious,Rob Cohen,Color,106,Paul Walker,English,USA,2001
Cast Away,Robert Zemeckis,Color,143,Tom Hanks,English,USA,2000
Happy Feet,George Miller,Color,108,Robin Williams,English,USA,2006
The Bourne Supremacy,Paul Greengrass,Color,108,Matt Damon,English,USA,2004
Air Force One,Wolfgang Petersen,Color,124,Harrison Ford,English,USA,1997
Ocean's Eleven,Steven Soderbergh,Color,116,Brad Pitt,English,USA,2001
The Three Musketeers,Paul W.S. Anderson,Color,110,Milla Jovovich,English,Germany,2011
Hotel Transylvania,Genndy Tartakovsky,Color,91,Steve Buscemi,English,USA,2012
Enchanted,Kevin Lima,Color,107,Jeff Bennett,English,USA,2007
Hannibal,,Color,44,Caroline Dhavernas,English,USA,
Safe House,Daniel Espinosa,Color,115,Denzel Washington,English,USA,2012
102 Dalmatians,Kevin Lima,Color,100,Ioan Gruffudd,English,USA,2000
Tower Heist,Brett Ratner,Color,104,Matthew Broderick,English,USA,2011
The Holiday,Nancy Meyers,Color,138,Kate Winslet,English,USA,2006
Enemy of the State,Tony Scott,Color,140,Will Smith,English,USA,1998
It's Complicated,Nancy Meyers,Color,120,Meryl Streep,English,USA,2009
Ocean's Thirteen,Steven Soderbergh,Color,122,Al Pacino,English,USA,2007
Open Season,Roger Allers,Color,83,Jon Favreau,English,USA,2006
Divergent,Neil Burger,Color,139,Kate Winslet,English,USA,2014
Enemy at the Gates,Jean-Jacques Annaud,Color,131,Bob Hoskins,English,USA,2001
The Rundown,Peter Berg,Color,104,Dwayne Johnson,English,USA,2003
Last Action Hero,John McTiernan,Color,130,F. Murray Abraham,English,USA,1993
Memoirs of a Geisha,Rob Marshall,Color,145,Li Gong,English,USA,2005
The Fast and the Furious: Tokyo Drift,Justin Lin,Color,104,Amber Stevens West,English,USA,2006
Arthur Christmas,Sarah Smith,Color,97,Jim Broadbent,English,UK,2011
Meet Joe Black,Martin Brest,Color,178,Anthony Hopkins,English,USA,1998
Collateral Damage,Andrew Davis,Color,108,Raymond Cruz,English,USA,2002
All That Jazz,Bob Fosse,Color,123,Roy Scheider,English,USA,1979
Mirror Mirror,Tarsem Singh,Color,106,Julia Roberts,English,USA,2012
Scott Pilgrim vs. the World,Edgar Wright,Color,112,Anna Kendrick,English,USA,2010
The Core,Jon Amiel,Color,135,Glenn Morshower,English,USA,2003
Nutty Professor II: The Klumps,Peter Segal,Color,109,Larry Miller,English,USA,2000
Scooby-Doo,Raja Gosnell,Color,86,Sarah Michelle Gellar,English,USA,2002
Dredd,Pete Travis,Color,95,Wood Harris,English,UK,2012
Click,Frank Coraci,Color,107,Adam Sandler,English,USA,2006
Creepshow,George A. Romero,Color,130,Ted Danson,English,USA,1982
Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,Color,82,Jack McBrayer,English,USA,2010
Jumper,Doug Liman,Color,88,Kristen Stewart,English,USA,2008
Hellboy II: The Golden Army,Guillermo del Toro,Color,120,Seth MacFarlane,English,USA,2008
Zodiac,David Fincher,Color,162,Robert Downey Jr.,English,USA,2007
The 6th Day,Roger Spottiswoode,Color,123,Robert Duvall,English,USA,2000
Bruce Almighty,Tom Shadyac,Color,101,Morgan Freeman,English,USA,2003
The Expendables,Sylvester Stallone,Color,113,Jason Statham,English,USA,2010
Mission: Impossible,Brian De Palma,Color,110,Tom Cruise,English,USA,1996
The Hunger Games,Gary Ross,Color,142,Jennifer Lawrence,English,USA,2012
The Hangover Part II,Todd Phillips,Color,102,Bradley Cooper,English,USA,2011
Batman Returns,Tim Burton,Color,126,Michael Gough,English,USA,1992
Over the Hedge,Tim Johnson,Color,83,Bruce Willis,English,USA,2006
Lilo & Stitch,Dean DeBlois,Color,85,Tia Carrere,English,USA,2002
Charlotte's Web,Gary Winick,Color,97,Steve Buscemi,English,USA,2006
Deep Impact,Mimi Leder,Color,120,Morgan Freeman,English,USA,1998
RED 2,Dean Parisot,Color,116,Bruce Willis,English,USA,2013
The Longest Yard,Peter Segal,Color,113,Adam Sandler,English,USA,2005
Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,Color,87,Amy Poehler,English,USA,2011
Grown Ups 2,Dennis Dugan,Color,101,Steve Buscemi,English,USA,2013
Get Smart,Peter Segal,Color,110,Bill Murray,English,USA,2008
Something's Gotta Give,Nancy Meyers,Color,128,Keanu Reeves,English,USA,2003
Shutter Island,Martin Scorsese,Color,138,Leonardo DiCaprio,English,USA,2010
Four Christmases,Seth Gordon,Color,88,Jon Favreau,English,Germany,2008
Robots,Chris Wedge,Color,91,Jim Broadbent,English,USA,2005
Face/Off,John Woo,Color,138,Nicolas Cage,English,USA,1997
Bedtime Stories,Adam Shankman,Color,99,Adam Sandler,English,USA,2008
Road to Perdition,Sam Mendes,Color,117,Tom Hanks,English,USA,2002
Just Go with It,Dennis Dugan,Color,117,Adam Sandler,English,USA,2011
Daredevil,,,54,Elden Henson,English,USA,
Con Air,Simon West,Color,123,Steve Buscemi,English,USA,1997
Eagle Eye,D.J. Caruso,Color,118,Rosario Dawson,English,USA,2008
Cold Mountain,Anthony Minghella,Color,154,Philip Seymour Hoffman,English,USA,2003
The Book of Eli,Albert Hughes,Color,118,Denzel Washington,English,USA,2010
Flubber,Les Mayfield,Color,90,Robin Williams,English,USA,1997
The Haunting,Jan de Bont,Color,113,Liam Neeson,English,USA,1999
Space Jam,Joe Pytka,Color,88,Bill Murray,English,USA,1996
The Pink Panther,Shawn Levy,Color,93,Roger Rees,English,USA,2006
The Day the Earth Stood Still,Scott Derrickson,
The Day the Earth Stood Still,Scott Derrickson,Color,104,Keanu Reeves,English,USA,2008
Conspiracy Theory,Richard Donner,Color,135,Julia Roberts,English,USA,1997
Fury,David Ayer,Color,134,Brad Pitt,English,USA,2014
Six Days Seven Nights,Ivan Reitman,Color,98,Harrison Ford,English,USA,1998
Yogi Bear,Eric Brevig,Color,80,Justin Timberlake,English,USA,2010
Spirit: Stallion of the Cimarron,Kelly Asbury,Color,83,Matt Damon,English,USA,2002
Zookeeper,Frank Coraci,Color,102,Rosario Dawson,English,USA,2011
Lost in Space,Stephen Hopkins,Color,130,Gary Oldman,English,USA,1998
The Manchurian Candidate,Jonathan Demme,Color,129,Denzel Washington,English,USA,2004
Déjà Vu,Henry Jaglom,Color,117,Vanessa Redgrave,English,USA,1997
Hotel Transylvania 2,Genndy Tartakovsky,Color,89,Steve Buscemi,English,USA,2015
Bewitched,, Black and White,25,Elizabeth Montgomery,English,USA,
Fantasia 2000,James Algar,Color,74,Quincy Jones,English,USA,1999
The Time Machine,Simon Wells,Color,96,Mark Addy,English,USA,2002
Mighty Joe Young,Ron Underwood,Color,114,Charlize Theron,English,USA,1998
Swordfish,Dominic Sena,Color,99,Hugh Jackman,English,USA,2001
The Legend of Zorro,Martin Campbell,Color,129,Michael Emerson,Spanish,USA,2005
What Dreams May Come,Vincent Ward,Color,113,Robin Williams,English,USA,1998
Little Nicky,Steven Brill,Color,90,Adam Sandler,English,USA,2000
The Brothers Grimm,Terry Gilliam,Color,118,Matt Damon,English,USA,2005
Mars Attacks!,Tim Burton,Color,106,Natalie Portman,English,USA,1996
Evolution,Lucile Hadzihalilovic,Color,81,Nissim Renard,French,France,2015
The Edge,Lee Tamahori,Color,117,Anthony Hopkins,English,USA,1997
Surrogates,Jonathan Mostow,Color,89,Bruce Willis,English,USA,2009
Thirteen Days,Roger Donaldson,Color,145,Bruce Greenwood,English,USA,2000
Daylight,Rob Cohen,Color,114,Sylvester Stallone,English,USA,1996
Walking with Dinosaurs 3D,Barry Cook,Color,87,Charlie Rowe,English,USA,2013
Battlefield Earth,Roger Christian,Color,119,Richard Tyson,English,USA,2000
Looney Tunes: Back in Action,Joe Dante,Color,91,Brendan Fraser,English,Germany,2003
Nine,Rob Marshall, Black and White,118,Fergie,English,USA,2009
Timeline,Richard Donner,Color,116,Paul Walker,English,USA,2003
The Postman,Kevin Costner,Color,177,Olivia Williams,English,USA,1997
Babe: Pig in the City,George Miller,Color,97,Adam Goldberg,English,Australia,1998
The Last Witch Hunter,Breck Eisner,Color,106,Vin Diesel,English,USA,2015
Red Planet,Antony Hoffman,Color,106,Bob Neill,English,USA,2000
Arthur and the Invisibles,Luc Besson,Color,94,Mia Farrow,English,France,2006
Oceans,Jacques Perrin,Color,104,Pedro Armendáriz Jr.,French,France,2009
A Sound of Thunder,Peter Hyams,Color,102,David Oyelowo,English,UK,2005
Pompeii,Paul W.S. Anderson,Color,105,Sasha Roiz,English,Canada,2014
Top Cat Begins,Andrés Couturier,Color,89,Sariann Monaco,Spanish,Mexico,2015
A Beautiful Mind,Ron Howard,Color,135,Adam Goldberg,English,USA,2001
The Lion King,Roger Allers,Color,73,Matthew Broderick,English,USA,1994
Journey 2: The Mysterious Island,Brad Peyton,Color,94,Josh Hutcherson,English,USA,2012
Cloudy with a Chance of Meatballs 2,Cody Cameron,Color,95,Will Forte,English,USA,2013
Red Dragon,Brett Ratner,Color,124,Philip Seymour Hoffman,English,Germany,2002
Hidalgo,Joe Johnston,Color,136,J.K. Simmons,English,USA,2004
Jack and Jill,Dennis Dugan,Color,91,Al Pacino,English,USA,2011
2 Fast 2 Furious,John Singleton,Color,107,Paul Walker,English,USA,2003
The Little Prince,Mark Osborne,Color,108,Jeff Bridges,English,France,2015
The Invasion,Oliver Hirschbiegel,Color,99,Roger Rees,English,USA,2007
The Adventures of Rocky & Bullwinkle,Des McAnuff,Color,92,Robert De Niro,English,USA,2000
The Secret Life of Pets,Yarrow Cheney,Color,87,Steve Coogan,English,Japan,2016
The League of Extraordinary Gentlemen,Stephen Norrington, Black and White,110,Jason Flemyng,English,USA,2003
Despicable Me 2,Pierre Coffin,Color,98,Steve Carell,English,USA,2013
Independence Day,Roland Emmerich,Color,154,Will Smith,English,USA,1996
The Lost World: Jurassic Park,Steven Spielberg,Color,129,Ariana Richards,English,USA,1997
Madagascar,Eric Darnell,Color,86,Jada Pinkett Smith,English,USA,2005
Children of Men,Alfonso Cuarón,Color,109,Charlie Hunnam,English,USA,2006
X-Men,Bryan Singer,Color,104,Hugh Jackman,English,USA,2000
Wanted,Timur Bekmambetov,Color,110,Angelina Jolie Pitt,English,USA,2008
The Rock,Michael Bay,Color,136,Nicolas Cage,English,USA,1996
Ice Age: The Meltdown,Carlos Saldanha,Color,115,Denis Leary,English,USA,2006
50 First Dates,Peter Segal,Color,99,Adam Sandler,English,USA,2004
Hairspray,Adam Shankman,Color,117,Jerry Stiller,English,USA,2007
Exorcist: The Beginning,Renny Harlin,Color,125,James D'Arcy,English,USA,2004
Inspector Gadget,David Kellogg,Color,110,Matthew Broderick,English,USA,1999
Now You See Me,Louis Leterrier,Color,125,Morgan Freeman,English,USA,2013
Grown Ups,Dennis Dugan,Color,102,Steve Buscemi,English,USA,2010
The Terminal,Steven Spielberg,Color,128,Tom Hanks,English,USA,2004
Constantine,,Color,43,Harold Perrineau,English,USA,
Hotel for Dogs,Thor Freudenthal,Color,100,Don Cheadle,English,USA,2009
Vertical Limit,Martin Campbell,Color,124,Nicholas Lea,English,USA,2000
Charlie Wilson's War,Mike Nichols,Color,102,Philip Seymour Hoffman,English,USA,2007
Shark Tale,Bibo Bergeron,Color,90,Robert De Niro,English,USA,2004
Dreamgirls,Bill Condon,Color,130,Loretta Devine,English,USA,2006
Life,,Color,45,Adam Arkin,English,USA,
Be Cool,F. Gary Gray,Color,118,Dwayne Johnson,English,USA,2005
Munich,Steven Spielberg,Color,163,Ayelet Zurer,English,France,2005
Tears of the Sun,Antoine Fuqua,Color,142,Bruce Willis,English,USA,2003
Killers,Robert Luketic,Color,100,Tom Selleck,English,USA,2010
The Man from U.N.C.L.E.,Guy Ritchie,Color,116,Henry Cavill,English,USA,2015
Spanglish,James L. Brooks,Color,131,Adam Sandler,English,USA,2004
Monster House,Gil Kenan,Color,91,Steve Buscemi,English,USA,2006
Bandits,Barry Levinson,Color,123,Bruce Willis,English,USA,2001
First Knight,Jerry Zucker,Color,134,Julia Ormond,English,USA,1995
Anna and the King,Andy Tennant,Color,148,Bai Ling,English,USA,1999
Immortals,Tarsem Singh,Color,110,Henry Cavill,English,USA,2011
Hostage,Florent-Emilio Siri,Color,113,Jimmy Bennett,English,USA,2005
Titan A.E.,Don Bluth,Color,94,Matt Damon,English,USA,2000
Hollywood Homicide,Ron Shelton,Color,116,Harrison Ford,English,USA,2003
Soldier,Paul W.S. Anderson,Color,99,Connie Nielsen,English,UK,1998
Carriers,David Pastor,Color,84,Christopher Meloni,English,USA,2009
Monkeybone,Henry Selick,Color,93,Brendan Fraser,English,USA,2001
Flight of the Phoenix,John Moore,Color,113,Dennis Quaid,English,USA,2004
Unbreakable,M. Night Shyamalan,Color,106,Robin Wright,English,USA,2000
Minions,Kyle Balda,Color,91,Steve Carell,English,USA,2015
Sucker Punch,Zack Snyder,Color,128,Jon Hamm,English,USA,2011
Snake Eyes,Brian De Palma,Color,98,Nicolas Cage,English,USA,1998
Sphere,Barry Levinson,Color,134,Peter Coyote,English,USA,1998
The Angry Birds Movie,Clay Kaytis,Color,97,Peter Dinklage,English,USA,2016
Fool's Gold,Andy Tennant,Color,112,Matthew McConaughey,English,USA,2008
Funny People,Judd Apatow,Color,153,Adam Sandler,English,USA,2009
The Kingdom,Peter Berg,Color,110,Jennifer Garner,English,USA,2007
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,Color,122,Will Ferrell,English,USA,2006
Dr. Dolittle 2,Steve Carr,Color,87,Raven-Symoné,English,USA,2001
Braveheart,Mel Gibson,Color,178,Mhairi Calvey,English,USA,1995
Jarhead,Sam Mendes,Color,125,Jake Gyllenhaal,English,Germany,2005
The Simpsons Movie,David Silverman,Color,87,Albert Brooks,English,USA,2007
The Majestic,Frank Darabont,Color,152,Martin Landau,English,USA,2001
Driven,Renny Harlin,Color,116,Sylvester Stallone,English,USA,2001
Two Brothers,Jean-Jacques Annaud,Color,109,David Gant,English,France,2004
The Village,M. Night Shyamalan,Color,108,Bryce Dallas Howard,English,USA,2004
Doctor Dolittle,Betty Thomas,Color,85,Oliver Platt,English,USA,1998
Signs,M. Night Shyamalan,Color,106,Rory Culkin,English,USA,2002
Shrek 2,Andrew Adamson,Color,93,Rupert Everett,English,USA,2004
Cars,John Lasseter,Color,117,John Ratzenberger,English,USA,2006
Runaway Bride,Garry Marshall,Color,116,Julia Roberts,English,USA,1999
xXx,Rob Cohen,Color,132,Vin Diesel,English,USA,2002
The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,Color,92,Tim Conway,English,USA,2015
Ransom,Ron Howard,Color,139,Lili Taylor,English,USA,1996
Inglourious Basterds,Quentin Tarantino,Color,153,Michael Fassbender,English,USA,2009
Hook,Steven Spielberg,Color,142,Robin Williams,English,USA,1991
Hercules,Brett Ratner,Color,101,Dwayne Johnson,English,USA,2014
Die Hard 2,Renny Harlin,Color,124,Bruce Willis,English,USA,1990
S.W.A.T.,Clark Johnson,Color,117,Jeremy Renner,English,USA,2003
Sleepy Hollow,,Color,45,Nicole Beharie,English,USA,
Vanilla Sky,Cameron Crowe,Color,141,Tom Cruise,English,USA,2001
Lady in the Water,M. Night Shyamalan,Color,110,Bryce Dallas Howard,English,USA,2006
AVP: Alien vs. Predator,Paul W.S. Anderson,Color,109,Sanaa Lathan,English,USA,2004
Alvin and the Chipmunks: The Squeakquel,Betty Thomas,Color,88,Amy Poehler,English,USA,2009
We Were Soldiers,Randall Wallace,Color,124,Jon Hamm,English,USA,2002
Olympus Has Fallen,Antoine Fuqua,Color,119,Gerard Butler,English,USA,2013
Star Trek: Insurrection,Jonathan Frakes,Color,103,LeVar Burton,English,USA,1998
Battle Los Angeles,Jonathan Liebesman,Color,116,Noel Fisher,English,USA,2011
Big Fish,Tim Burton,Color,125,Steve Buscemi,English,USA,2003
Wolf,Mike Nichols,Color,125,David Hyde Pierce,English,USA,1994
War Horse,Steven Spielberg, Black and White,146,Jeremy Irvine,English,USA,2011
The Monuments Men,George Clooney,Color,118,Bill Murray,English,USA,2014
The Abyss,James Cameron,Color,171,Michael Biehn,English,USA,1989
Wall Street: Money Never Sleeps,Oliver Stone,Color,136,Frank Langella,English,USA,2010
Dracula Untold,Gary Shore,Color,92,Dominic Cooper,English,USA,2014
The Siege,Edward Zwick,Color,116,Denzel Washington,English,USA,1998
Stardust,Matthew Vaughn,Color,127,Henry Cavill,English,UK,2007
Seven Years in Tibet,Jean-Jacques Annaud,Color,136,Brad Pitt,English,USA,1997
The Dilemma,Ron Howard,Color,111,Channing Tatum,English,USA,2011
Bad Company,Joel Schumacher,Color,116,Anthony Hopkins,English,USA,2002
Doom,Andrzej Bartkowiak,Color,113,Dwayne Johnson,English,UK,2005
I Spy,Betty Thomas,Color,97,Gary Cole,English,USA,2002
Underworld: Awakening,Måns Mårlind,Color,88,Theo James,English,USA,2012
Rock of Ages,Adam Shankman,Color,136,James Martin Kelly,English,USA,2012
Hart's War,Gregory Hoblit,Color,125,Bruce Willis,English,USA,2002
Killer Elite,Gary McKendry,Color,116,Jason Statham,English,UK,2011
Rollerball,John McTiernan,Color,98,LL Cool J,English,USA,2002
Ballistic: Ecks vs. Sever,Wych Kaosayananda,Color,91,Talisa Soto,English,USA,2002
Hard Rain,Mikael Salomon,Color,97,Morgan Freeman,English,USA,1998
Osmosis Jones,Bobby Farrelly,Color,95,Ron Howard,English,USA,2001
Legends of Oz: Dorothy's Return,Will Finn,Color,88,Lea Michele,English,USA,2013
Blackhat,Michael Mann,Color,133,Chris Hemsworth,English,USA,2015
Sky Captain and the World of Tomorrow,Kerry Conran,Color,106,Angelina Jolie Pitt,English,USA,2004
Basic Instinct 2,Michael Caton-Jones,Color,116,Charlotte Rampling,English,UK,2006
Escape Plan,Mikael Håfström,Color,115,Sylvester Stallone,English,USA,2013
The Legend of Hercules,Renny Harlin,Color,99,Roxanne McKee,English,USA,2014
The Sum of All Fears,Phil Alden Robinson,Color,124,Morgan Freeman,English,USA,2002
The Twilight Saga: Eclipse,David Slade,Color,124,Robert Pattinson,English,USA,2010
The Score,Frank Oz,Color,124,Robert De Niro,English,USA,2001
Despicable Me,Pierre Coffin,Color,87,Steve Carell,English,USA,2010
Money Train,Joseph Ruben,Color,105,Vincent Pastore,English,USA,1995
Ted 2,Seth MacFarlane,Color,125,Liam Neeson,English,USA,2015
Agora,Alejandro Amenábar,Color,141,Max Minghella,English,Spain,2009
Mystery Men,Kinka Usher,Color,121,Janeane Garofalo,English,USA,1999
Hall Pass,Bobby Farrelly,Color,111,Jenna Fischer,English,USA,2011
The Insider,Michael Mann,Color,157,Al Pacino,English,USA,1999
The Finest Hours,Craig Gillespie,Color,117,Michael Raymond-James,English,USA,2016
Body of Lies,Ridley Scott,Color,128,Leonardo DiCaprio,English,USA,2008
Dinner for Schmucks,Jay Roach,Color,114,Steve Carell,English,USA,2010
Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,Color,105,Rufus Sewell,English,USA,2012
Entrapment,Jon Amiel,Color,113,Will Patton,English,USA,1999
Last Man Standing,,Color,30,Hector Elizondo,English,USA,
The X Files,Rob Bowman,Color,121,Martin Landau,English,USA,1998
The Last Legion,Doug Lefler,Color,102,Colin Firth,English,UK,2007
Saving Private Ryan,Steven Spielberg,Color,169,Tom Hanks,English,USA,1998
Need for Speed,Scott Waugh,Color,132,Rami Malek,English,USA,2014
What Women Want,Nancy Meyers,Color,127,Judy Greer,English,USA,2000
Ice Age,Chris Wedge,Color,103,Goran Visnjic,English,USA,2002
Dreamcatcher,Lawrence Kasdan,Color,136,Morgan Freeman,English,USA,2003
Lincoln,Steven Spielberg,Color,150,Joseph Gordon-Levitt,English,USA,2012
The Matrix,Lana Wachowski,Color,136,Keanu Reeves,English,USA,1999
Apollo 13,Ron Howard,Color,140,Tom Hanks,English,USA,1995
Total Recall,Paul Verhoeven,Color,113,Ronny Cox,English,USA,1990
The Santa Clause 2,Michael Lembeck,Color,104,Judge Reinhold,English,USA,2002
Les Misérables,Tom Hooper,Color,158,Hugh Jackman,English,USA,2012
You've Got Mail,Nora Ephron,Color,119,Tom Hanks,English,USA,1998
Step Brothers,Adam McKay,Color,106,Will Ferrell,English,USA,2008
The Mask of Zorro,Martin Campbell,Color,136,Anthony Hopkins,English,USA,1998
Due Date,Todd Phillips,Color,95,Robert Downey Jr.,English,USA,2010
Unbroken,Angelina Jolie Pitt,Color,137,Finn Wittrock,English,USA,2014
Space Cowboys,Clint Eastwood, Black and White,130,Clint Eastwood,English,USA,2000
Cliffhanger,Renny Harlin,Color,124,Sylvester Stallone,English,USA,1993
Broken Arrow,John Woo,Color,108,Delroy Lindo,English,USA,1996
The Kid,Jon Turteltaub,Color,104,Bruce Willis,English,USA,2000
World Trade Center,Oliver Stone,Color,129,Nicolas Cage,English,USA,2006
Mona Lisa Smile,Mike Newell,Color,117,Julia Roberts,English,USA,2003
The Dictator,Larry Charles,Color,99,Sayed Badreya,English,USA,2012
Eyes Wide Shut,Stanley Kubrick,Color,159,Tom Cruise,English,UK,1999
Annie,Will Gluck,Color,118,Quvenzhané Wallis,English,USA,2014
Focus,Glenn Ficarra,Color,105,Will Smith,English,USA,2015
This Means War,McG,Color,103,Tom Hardy,English,USA,2012
Blade: Trinity,David S. Goyer,Color,122,Ryan Reynolds,English,USA,2004
Red Dawn,John Milius,Color,114,Lea Thompson,English,USA,1984
Primary Colors,Mike Nichols,Color,143,Maura Tierney,English,France,1998
Resident Evil: Retribution,Paul W.S. Anderson,Color,96,Milla Jovovich,English,Germany,2012
Death Race,Paul W.S. Anderson,Color,111,Jason Statham,English,USA,2008
The Long Kiss Goodnight,Renny Harlin,Color,121,Melina Kanakaredes,English,USA,1996
Proof of Life,Taylor Hackford,Color,135,Pamela Reed,English,USA,2000
Zathura: A Space Adventure,Jon Favreau,Color,101,Kristen Stewart,English,USA,2005
Fight Club,David Fincher,Color,151,Brad Pitt,English,USA,1999
We Are Marshall,McG,Color,131,Matthew McConaughey,English,USA,2006
The Missing,,Color,60,Jason Flemyng,English,UK,
Hudson Hawk,Michael Lehmann,Color,100,Bruce Willis,English,USA,1991
Lucky Numbers,Nora Ephron,Color,105,Michael Rapaport,English,France,2000
Oliver Twist,Roman Polanski,Color,130,Ian McNeice,English,UK,2005
Elektra,Rob Bowman,Color,100,Jennifer Garner,English,Canada,2005
Sin City: A Dame to Kill For,Frank Miller, Black and White,102,Joseph Gordon-Levitt,English,USA,2014
Random Hearts,Sydney Pollack,Color,133,Harrison Ford,English,USA,1999
Everest,Baltasar Kormákur,Color,121,Michael Kelly,English,UK,2015
Perfume: The Story of a Murderer,Tom Tykwer,Color,147,Michael Smiley,English,Germany,2006
Austin Powers in Goldmember,Jay Roach,Color,94,Verne Troyer,English,USA,2002
Astro Boy,David Bowers,Color,94,Nicolas Cage,English,Hong Kong,2009
Jurassic Park,Steven Spielberg,Color,127,Wayne Knight,English,USA,1993
Wyatt Earp,Lawrence Kasdan,Color,212,Dennis Quaid,English,USA,1994
Clear and Present Danger,Phillip Noyce,Color,141,Harrison Ford,English,USA,1994
Dragon Blade,Daniel Lee,Color,103,Si Won Choi,Mandarin,China,2015
Littleman,Keenen Ivory Wayans,Color,98,Chazz Palminteri,English,USA,2006
U-571,Jonathan Mostow,Color,116,Matthew McConaughey,English,France,2000
The American President,Rob Reiner,Color,114,Shawna Waldron,English,USA,1995
The Love Guru,Marco Schnabel,Color,87,Justin Timberlake,English,USA,2008
3000 Miles to Graceland,Demian Lichtenstein,Color,125,Jon Lovitz,English,USA,2001
The Hateful Eight,Quentin Tarantino,Color,187,Craig Stark,English,USA,2015
Blades of Glory,Josh Gordon,Color,93,Will Ferrell,English,USA,2007
Hop,Tim Hill,Color,95,Gary Cole,English,USA,2011
300,Zack Snyder,Color,117,Gerard Butler,English,USA,2006
Meet the Fockers,Jay Roach,Color,106,Robert De Niro,English,USA,2004
Marley & Me,David Frankel,Color,115,Eric Dane,English,USA,2008
The Green Mile,Frank Darabont,Color,189,Tom Hanks,English,USA,1999
Wild Hogs,Walt Becker,Color,100,Jill Hennessy,English,USA,2007
Chicken Little,Mark Dindal,Color,81,Catherine O'Hara,English,USA,2005
Gone Girl,David Fincher,Color,149,Patrick Fugit,English,USA,2014
The Bourne Identity,Doug Liman,Color,119,Matt Damon,English,USA,2002
